t,x,y,z
0.978,7.895509288,12.92766185,16.88337575
0.98,7.996639907,13.0774019,16.99966141
0.982,8.098733622,13.22718263,17.12036817
0.984,8.201771182,13.37690397,17.24555839
0.986,8.305731689,13.52646115,17.3752927
0.988,8.410592537,13.67574467,17.5096298
0.99,8.516329354,13.82464017,17.64862625
0.992,8.622915935,13.97302843,17.79233617
0.994,8.730324184,14.12078524,17.94081102
0.996,8.838524046,14.26778141,18.09409932
0.998,8.947483459,14.41388276,18.25224635
1,9.057168297,14.55895011,18.41529393
1.002,9.167542298,14.70283925,18.58328004
1.004,9.278567007,14.84540092,18.75623851
1.006,9.390201724,14.98648087,18.93419875
1.008,9.502403463,15.12591994,19.11718545
1.01,9.615126887,15.26355408,19.30521816
1.012,9.728324254,15.39921442,19.49831098
1.014,9.841945373,15.53272739,19.6964722
1.016,9.955937569,15.66391487,19.89970399
1.018,10.07024565,15.79259434,20.108002
1.02,10.18481185,15.918579,20.32135502
1.022,10.2995758,16.041678,20.53974452
1.024,10.41447452,16.16169666,20.76314439
1.026,10.52944238,16.27843675,20.99152062
1.028,10.64441111,16.39169673,21.22483081
1.03,10.75930974,16.50127205,21.46302387
1.032,10.87406463,16.60695556,21.70603961
1.034,10.98859951,16.70853779,21.9538085
1.036,11.10283542,16.80580737,22.20625138
1.038,11.21669077,16.89855152,22.46327895
1.04,11.33008137,16.98655647,22.72479159
1.042,11.44292044,17.06960795,22.99067901
1.044,11.5551187,17.14749168,23.2608202
1.046,11.66658437,17.21999396,23.53508296
1.048,11.7772233,17.2869023,23.81332377
1.05,11.886939,17.34800603,24.09538754
1.052,11.99563271,17.4030968,24.38110762
1.054,12.10320358,17.45196931,24.67030564
1.056,12.2095487,17.49442213,24.96279136
1.058,12.31456327,17.53025834,25.25836264
1.06,12.41814069,17.55928628,25.55680551
1.062,12.52017276,17.58132009,25.85789426
1.064,12.62054979,17.5961807,26.16139151
1.066,12.7191608,17.60369656,26.46704839
1.068,12.81589368,17.60370437,26.77460471
1.07,12.91063541,17.59604998,27.08378923
1.072,13.00327224,17.58058908,27.39432001
1.074,13.09368993,17.55718809,27.70590482
1.076,13.18177396,17.52572469,28.01824155
1.078,13.26740977,17.48608875,28.33101874
1.08,13.35048304,17.43818308,28.64391619
1.082,13.43087991,17.38192409,28.9566055
1.084,13.50848724,17.31724247,29.2687507
1.086,13.58319293,17.24408387,29.58000916
1.088,13.65488617,17.16240951,29.89003232
1.09,13.72345773,17.07219668,30.19846644
1.092,13.78880026,16.97343925,30.50495362
1.094,13.85080859,16.86614822,30.80913277
1.096,13.90938004,16.75035203,31.11064056
1.098,13.96441464,16.62609689,31.4091123
1.1,14.01581556,16.49344707,31.70418327
1.102,14.06348931,16.35248506,31.9954897
1.104,14.10734608,16.20331171,32.28266986
